ProductName,Product Details,Ingredients,ServingSize,Calories PerServing,NutritionalInfo
Quaker Lower Sugar Instant Oatmeal Variety Pack,"All of your favorite Quaker® flavors with 35% less sugar*, no artificial preservatives or sweeteners? Good luck picking just one! Quaker Lower Sugar Variety Pack gives you the choice between Maple & Brown Sugar, Cinnamon & Spice and Apples & Cinnamon.

Made with Heart Healthy 100% Whole Grain Quaker® Oats
35% less sugar than regular flavored Quaker Instant Oatmeal
Good Source of Fiber - Contains 2g total fat per serving
No Artificial Preservatives or Sweeteners
No Added Colors
No Artificial Flavors
Includes Maple & Brown Sugar, Apples & Cinnamon, and Cinnamon & Spice flavors","Maple & Brown Sugar Ingredients: Whole Grain Oats, Sugar, Salt, Natural Flavor, Monk Fruit Extract, Apples & Cinnamon Ingredients: Whole Grain Oats, Dried Apples, Sugar, Salt, Cinnamon, Monk Fruit Extract, Natural Flavor, Cinnamon & Spice Ingredients: Whole Grain Oats, Sugar, Salt, Cinnamon, Spices, Monk Fruit Extract, Natural Flavor.",1 packet (31g),110,"Total Fat 2g

Polyunsaturated Fat 0.5g

Monounsaturated Fat 0.5g

Cholesterol 0mg

Sodium 230mg

Total Carbohydrate 23g

Dietary Fiber 3g

Sugar 4g

Added Sugar 2g

Protein 3g"
Private Selection® Butcher Selected Prime Rib Beef Patties,"Private Selection® Prime Rib Beef Patties are crafted with premium cut beef selected for its exceptional flavor and tenderness. Using only mild seasonings, the quality of the meat and rich flavor of the beef shine through.","Beef, Water, Seasoning (Beef Extract, Encapsulated Salt, Spices, Maltodextrin, Natural Flavor, Less Than 2% Calcium Stearate [Anti-caking]), Natural Flavor.",1patty (151 g),420,"Total Fat 35g

Saturated Fat 13g

Trans Fat 2g
Cholesterol 105mg

Sodium 750mg

Total Carbohydrate 1g

Dietary Fiber 0g

Sugar 0g
Protein 24g"
Oreo Double Stuf Gluten Free Chocolate Sandwich Cookies,"Milk’s Favorite Cookie is now Gluten Free! Double Stuf OREO fans will celebrate these gluten free chocolate wafer cookies, made with a gluten free flour blend and filled with nearly double the creme! Make moments or occasions sweeter with gluten free OREO cookies. Cocoa Life: 100% Sustainably Sourced Cocoa, visit the Cocoa Life website for details.

One 12.47 oz pack of OREO Double Stuf Gluten Free Chocolate Sandwich Cookies (packaging may vary)
Certified gluten free Double Stuf OREO cookies filled with nearly double the amount of smooth creme and made with a special blend of gluten free flour making them taste like the original cookie you know
Enjoy OREO cookies as a simple dessert or after-lunch treat, or whenever you want to make a moment or occasion a little sweeter with gluten free snacks
Resealable packs help your Kosher cookies stay fresh, which means you can look forward to a crisp creme-filled cookie whenever you’re ready for a sweet treat
Cocoa Life: 100% Sustainably Sourced Cocoa; OREO partners with Cocoa Life to help support sustainable cocoa sourcing, see the Cocoa Life website for details","Sugar, Palm Oil, White Rice Flour, Tapioca Starch, Soybean and/or Canola Oil, Whole Oat Flour, Cornstarch, Cocoa (Processed with Alkali), Invert Sugar, Soy Lecithin, Baking Soda, Salt, Xanthan Gum, Chocolate, Artificial Flavor.",2 cookies,140,"Total Fat 7g

Saturated Fat 2.5g

Trans Fat 0g

Cholesterol 0mg

Sodium 85mg

Total Carbohydrate 21g

Dietary Fiber1g
2%
Sugar 13g

Added Sugar 13g

Protein 1g
"
PERDUE® SIMPLY SMART® ORGANICS Gluten Free Breaded Chicken Breast Tenders,"Keep it simple, smart and satisfying - PERDUE® Simply Smart® Organics Gluten-Free Chicken Breast Tenders are frozen and fully cooked for your convenience. Made with only organic, non-GMO ingredients you can recognize to create a gluten-free favorite. They are an easy, flavorful salad topping, pasta topping, or great served on their own. Simply heat what you need and store the rest for later! At PERDUE, we're hungry for better chicken and that means paying attention to all of the details, no matter how big or small. We believe our practices – like providing healthy feed and a happy environment for our chickens – lead to better-tasting chicken. And we think you’ll agree: take one bite and taste the difference that comes from our relentless pursuit of better-tasting chicken.

Certified Organic
Certified Gluten Free
100% All Natural
Non-GMO Ingredients
100% Veggie Diet
No Hormones or Steroids Added","Organic Boneless Chicken Breast with Rib Meat, Water, Organic Rice Flour, Organic Yellow Corn Flour, Organic Rice Flour, Organic Yellow Corn Flour, Organic Yellow Corn Meal, Contains Less than 2% of Sea Salt, Organic Corn Starch, Organic Garlic Powder, Organic Cane Sugar, Onion Powder, Organic Raisin Juice Concentrate, Organic Honey, Organic White Pepper, Organic Black Pepper, Organic Yeast Extract.",3 pieces,210,"Total Fat 10g

Saturated Fat 2g

Trans Fat 0g

Cholesterol 40mg

Sodium 480mg

Total Carbohydrate 17g

Dietary Fiber 0g

Sugar 1g

Added Sugar 1g

Protein13g
"
Olé Xtreme Wellness Keto Friendly Carb Lean Spinach & Herbs Tortillas,"Xtreme wellness spinach & herbs wraps are keto friendly, high in fiber and low in net carbs, made with whole wheat, extra virgin olive oil and flax seed. A better choice for your health.

11g of dietary fiber per serving
Only four grams net carbs per serving
50 calories per serving
No sugar added
Low carb
Keto Friendly
No Hydrogenated Oils","Water, Modified Wheat Starch, Wheat Protein, Cellulose, Whole Wheat, Contains 2% or Less of the Following: Extra Virgin Olive Oil, Spinach, Salt, Onion and Garlic Powder, Spice, Xanthan Gum, Ground Flax Seed, Aluminum-Free Leavening (Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Preservatives (Calcium Propionate, Sorbic Acid), Dough Conditioner (Fumaric Acid, Mono-and Diglycerides, Sodium Metabisulphite).",1 tortilla,50,"Total Fat 1.5g

Saturated Fat 0g

Trans Fat 0g

Cholesterol 0mg

Sodium 310mg

Total Carbohydrate 15g

Dietary Fiber 11g

Sugar 0g

Added Sugar 0g

Protein 5g
"
Life Cuisine Frozen Veggie Keto Friendly,"Feed your best life with Life Cuisine VEGGIE PIZZA, a delicious Italian style frozen meal to fit your Low Carb Lifestyle. Made with 28 grams of protein and 7 grams of net carbs,* this easy-to-make, 430-calorie frozen dinner features tomatoes, peppers, and onions. Each 6ounce sandwich can be enjoyed on its own or served with a side salad as part of a balanced meal. Pair your sandwich with soup, or customize it with your favorite add-ons. Quick and easy to prepare, this microwave meal is ready in minutes and makes a convenient lunch, dinner or snack at home or in the office. This frozen meal also offers essential nutrients, including 45% DV calcium, for a satisfying frozen entree you can feel good about. Life Cuisine frozen dinners are not your father’s TV dinners. Our microwave meals and snacks are carefully crafted with exciting flavors and thoughtful ingredients that feed your body and lift your spirits. *NET CARBS = 23 Carbs – 16g Fiber

7 G Net Carbs *NET CARBS = 23g Carbs – 16g Fiber
28g Protein. Excellent Source of Protein
16g Fiber
Preservative-Free Crust
Made with Real Cheese
No Artifical Flavors
Great out of the Airfryer
Keto Friendly","CRUST (WATER, MODIFIED WHEAT STARCH, MILK PROTEIN ISOLATE, EXTRA VIRGIN OLIVE OIL, SHORTENING [PALM OIL, NATURAL BUTTER FLAVOR], VITAL WHEAT GLUTEN, WHEAT PROTEIN ISOLATE, YEAST, SALT, BUTTER FLAVOR POWDER [MALTODEXTRIN, MODIFIED CORN STARCH, FLAVOR], BAKING POWDER [SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE], GARLIC POWDER), LOW MOISTURE MOZZARELLA CHEESE (CULTURED MILK, SALT, ENZYMES), WATER, BELL PEPPERS, TOMATO PASTE, ONIONS, TOMATOES, 2% OR LESS OF PARMESAN, ASIAGO AND ROMANO CHEESE BLEND (CULTURED PART-SKIM COW'S MILK, SALT, ENZYMES), SOYBEAN OIL, BASIL, SALT, SPICES, FRUCTOSE, GARLIC, KONJAC GUM, MODIFIED CORNSTARCH, MALIC ACID.",1 package,430,"Total Fat 25g

Saturated Fat 11g

Trans Fat 0g
Cholesterol 40mg

Sodium 840mg

Total Carbohydrate 23g

Dietary Fiber 16g

Sugar 3g

Protein 28g
"
Cheerios Vanilla Spice Heart Healthy Gluten Free Breakfast Cereal,"Wake up to O so delicious Vanilla Spice Cheerios Cereal. Taste vanilla with a kick of cinnamon in every bowl of sweetened multigrain cereal. Provides 28g whole grain per serving (at least 48g recommended daily), and 100% daily value of nine vitamins and minerals. Each little O is made with no artificial flavors or colors from artificial sources. Enjoy as breakfast food or as snacks for kids.

WHOLE GRAIN OATS: The first ingredient in this wholesome vanilla spice cereal
TOASTED OAT CEREAL: Crispy little Os made with a touch of real cinnamon and natural vanilla flavor
GLUTEN FREE: Gluten free plus no artificial flavors or colors from artificial sources and an excellent source of nine vitamins and minerals
HEART HEALTHY: While many factors affect heart disease; diets low in saturated fat and cholesterol may reduce the risk of this disease; Vanilla Spice Cheerios cereal is low in fat; 1.5g; saturated fat free and cholesterol free
CONTAINS one 12 oz Large Size box of General Mills Vanilla Spice Cheerios Cereal","Whole Grain Oats, Whole Grain Corn, Sugar, Whole Grain Rice, Corn Starch, Corn Syrup, Salt, Cinnamon, Tripotassium Phosphate, Color (Caramel Color, Annatto Extract), Natural Flavor, Vitamin E (Mixed Tocopherols) Added to Preserve Freshness, Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (Mineral Nutrients), a B Vitamin (Niacinamide), Vitamin C (Sodium Ascorbate), a B Vitamin (Calcium Pantothenate), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin Mononitrate), a B Vitamin (Folic Acid), Vitamin B12, Vitamin A (Palmitate), Vitamin D3.",1 1/3 cup,150,"Total Fat 1.5g

Saturated Fat 0g

Trans Fat 0g

Polyunsaturated Fat 0.5g

Monounsaturated Fat 0.5g

Cholesterol 0mg

Sodium140 mg

Total Carbohydrate 32g

Dietary Fiber 3g

Sugar 8g

Added Sugar 8g

Protein 3g
"
Kashi Maple Waffle Bites Cereal,"Enjoy delicious maple waffle taste in bite-size Kashi Maple Waffle Bites breakfast cereal. Includes one, 9.5-ounce box of healthy, mini waffle cereal pieces that are made with real maple syrup. Not just a tasty choice everyone can agree on, each bowl contains 22g whole grain and four grams fiber per 38g serving. This healthy cereal is also vegan, low-fat, and Non- GMO Project Verified. For a satisfying and sweet breakfast, try Kashi Maple Waffle Bites cereal with your favorite dairy or nut milk; it also pairs well with yogurt or a side of fresh fruit. For a more portable snack, pack into reusable baggies and enjoy this treat at work, school or between errands. Kashi Waffle Bites cereal can also be eaten as a late night bite during movie watching or TV time. When you crave a positive, wholesome start to the day, reach for Kashi Maple Waffle Bites breakfast cereal.

Bring a healthy, crispy crunch to mornings with bite-size mini waffle cereal
With real maple syrup, this bite-size waffle cereal is perfect for a satisfying and sweet breakfast everyone can agree on
Contains 22g whole grain per serving; Low fat; Good source of fiber; Non- GMO Project Verified
Enjoy with dairy or your favorite nut milk for a tasty breakfast; Try it with yogurt or fresh fruit; Pack in reusable baggies for a snack on the go
Includes one, 9.5-ounce box of Kashi Maple Waffle Bites cereal; Packaged for freshness and great taste","Whole Wheat Flour, Whole 0at Flour, Cane Sugar, Degerminated Yellow Corn Meal, Chickpea Flour, Maple Syrup, Canola Oil, Salt, Cinnamon, Natural Flavors, Carrot and Blueberry Juice for Color, Annatto Extract for Color.",1 cup,140,"Total Fat 2g

Saturated Fat 0g

Trans Fa t0g

Polyunsaturated Fat 1g

Monounsaturated Fat 1g

Cholesterol 0mg

Sodium 110mg

Total Carbohydrate 30g

Dietary Fiber 4g

Sugar 9g

Added Sugar 8g

Protein 4g
"
Apple,"Fresh, organic apples",Apples,1 medium apple (182g),95,"Vitamin C: 14%, Fiber: 4g"
Milk,"Whole milk, 1 gallon",Milk,1 cup (240ml),150,"Calcium: 30%, Protein: 8g"
